demo,map,round_number,tick_number,time_remaining,ct_score,t_score,ct_alive,ct_total_hp,ct_money,ct_equip_val,ct_rifle_count,ct_awp_alive,ct_pistol_only,ct_smokes,ct_mollies,ct_flashes,ct_nades,ct_any_blinded,ct_any_scoped,ct_any_defusing,ct_has_kit,ct_in_bombsite_a,ct_in_bombsite_b,t_alive,t_total_hp,t_money,t_equip_val,t_rifle_count,t_awp_alive,t_pistol_only,t_smokes,t_mollies,t_flashes,t_nades,t_any_blinded,t_any_scoped,t_any_planting,t_in_bombsite_a,t_in_bombsite_b,t_bomb_carrier_alive,bomb_planted,bomb_site,time_since_plant,ct_win
parivision-vs-g2-m1-mirage,de_mirage,0,1232,72.41,0,0,5,500,1300,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1248,72.16,0,0,5,500,1300,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1264,71.91,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1280,71.66,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1296,71.41,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1312,71.16,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1328,70.91,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1344,70.66,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1360,70.41,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1376,70.16,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1392,69.91,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
